Alkon hinnasto 19.11.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
437697;Mendel Finca los Andes Malbec 2020;Mendel Wines;0,75 l;109.00;145.33;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, kypsän karpaloinen, luumuinen, vadelmainen, kevyen nahkainen, hennon lyijykynäinen, valkopippurinen, tamminen;pullo;luonnonkorkki;14.5;5.1;4;;;;80.0;erikoiserä;7798125632840
944952;Mendel Malbec 2020;Mendel Wines;0,75 l;29.98;39.97;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, luumuinen, kirsikkainen, vaniljainen;pullo;luonnonkorkki;14.5;5.2;3;;;;80.0;tilausvalikoima;7798125633953
493987;Mendel Unus 2020;Mendel Wines;0,75 l;46.89;62.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, Cabernet Sauvignon, Petit Verdot, ;Täyteläinen, tanniininen, kypsän kirsikkainen, karpaloinen, vadelmainen, mustikkainen, kevyen lakritsinen, mausteinen, tamminen;pullo;luonnonkorkki;14.5;5.5;2;;;;80.0;erikoiserä;7798125632956
455677;Michel Rolland Mariflor Pinot Noir 2019;Bodega Rolland;0,75 l;30.36;40.48;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2019;Uco Valley;Saattaa sisältää sakkaa;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, kypsän kirsikkainen, karpaloinen, puolukkainen, mausteinen, hennon nahkainen, kevyen tamminen;pullo;luonnonkorkki;14.5;4.5;2;;;;80.0;erikoiserä;7798104390570
939907;Milamore 2019;Renacer;0,75 l;24.99;33.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, Cabernet Sauvignon, Bonarda, Cabernet Franc, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mansikkainen, mustaherukkainen, luumuhilloinen, mausteinen;pullo;luonnonkorkki;13.5;5.2;8;;;;80.0;vakiovalikoima;0098709085640
958203;Navarro Correas Reserve Cabernet Sauvignon 2020;Navarro Correas;0,75 l;16.99;22.52;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkainen, tamminen;pullo;luonnonkorkki;14.0;5.7;3;;;;80.0;tilausvalikoima;7790649000136
955777;Navarro Correas Reserve Malbec 2020;Bodega Navarro Correas;0,75 l;17.96;23.81;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;;;Malbec, ;Täyteläinen, tanniininen, kirsikkainen, luumuinen, pippurinen;pullo;luonnonkorkki;14.5;5.4;3;;;;80.0;tilausvalikoima;7790649000112
445147;Norton Barrel Select Cabernet Sauvignon 2022;Bodega Norton;0,75 l;13.49;17.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, mustaherukkainen, tumman kirsikkainen, kevyen vadelmainen, mausteinen, hennon salmiakkinen;pullo;metallinen kierrekapseli;14.0;5.2;0;;;;80.0;vakiovalikoima;7792319970978
464277;Norton Barrel Select Malbec 2022;Bodega Norton;0,75 l;11.99;15.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, herukkainen, karhunvatukkainen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.0;0;;;;80.0;vakiovalikoima;7792319677792
444218;Norton Colección de los Andes Cabernet Sauvignon Malbec 2022 kartonkitölkki;Bodega Norton;1 l;11.98;11.98;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;;Cabernet Sauvignon, Malbec, ;Täyteläinen, keskitanniininen, mustaherukkainen, kirsikkainen, mustikkainen, kaakaopapuinen, mausteinen;kartonkitölkki;muovisuljin;13.5;4.9;2;;;;80.0;vakiovalikoima;7792319972156
